datetime,position,value
2014-10-30 18:20:30,ai2,0.09145,SE Anemometer 4'
2014-10-30 18:20:30,ai3,0.01235,W Anemometer 4'
2014-10-30 18:20:30,ai4,0.00513,Center Anemometer 4'
2014-10-30 18:20:30,ai5,-0.00394,Center Anemometer 7'6
2014-10-30 18:20:30,ai6,0.00023,E Anemometer 4'
2014-10-30 18:20:30,ai7,-0.00233,N Anemometer 4'
2014-10-30 18:20:30,ai8,-0.00666,N Anemometer 7'6
2014-10-30 18:20:30,ai9,-0.00114,S Setra
2014-10-30 18:20:30,ai10,-0.00102,E Outer Setra
2014-10-30 18:20:30,ai11,-0.00252,NW P26
2014-10-30 18:20:30,ai12,-0.00101,E Inner Setra
2014-10-30 18:20:30,ai13,-0.001,N Setra
2014-10-30 18:20:31,ai0,-0.00164,NE Anemometer 4'
2014-10-30 18:20:31,ai1,0.00307,SW Anemometer 4'
2014-10-30 18:20:31,ai2,0.0968,SE Anemometer 4'
2014-10-30 18:20:31,ai3,2e-05,W Anemometer 4'
2014-10-30 18:20:31,ai4,0.00883,Center Anemometer 4'
2014-10-30 18:20:31,ai5,-0.00641,Center Anemometer 7'6
2014-10-30 18:20:31,ai6,0.00064,E Anemometer 4'
2014-10-30 18:20:31,ai7,0.00137,N Anemometer 4'
2014-10-30 18:20:31,ai8,0.00526,N Anemometer 7'6
2014-10-30 18:20:31,ai9,-0.0011,S Setra
2014-10-30 18:20:31,ai10,-0.00102,E Outer Setra
2014-10-30 18:20:31,ai11,-0.00252,NW P26
2014-10-30 18:20:31,ai12,-0.00102,E Inner Setra
2014-10-30 18:20:31,ai13,-0.001,N Setra
2014-10-30 18:20:32,ai0,-0.00123,NE Anemometer 4'
2014-10-30 18:20:32,ai1,0.00965,SW Anemometer 4'
2014-10-30 18:20:32,ai2,0.09392,SE Anemometer 4'
2014-10-30 18:20:32,ai3,0.00166,W Anemometer 4'
2014-10-30 18:20:32,ai4,0.01417,Center Anemometer 4'
2014-10-30 18:20:32,ai5,-0.00682,Center Anemometer 7'6
2014-10-30 18:20:32,ai6,0.00639,E Anemometer 4'
2014-10-30 18:20:32,ai7,0.00096,N Anemometer 4'
2014-10-30 18:20:32,ai8,0.01307,N Anemometer 7'6
2014-10-30 18:20:32,ai9,-0.00099,S Setra
2014-10-30 18:20:32,ai10,-0.00091,E Outer Setra
2014-10-30 18:20:32,ai11,-0.0025,NW P26
2014-10-30 18:20:32,ai12,-0.00105,E Inner Setra
2014-10-30 18:20:32,ai13,-0.001,N Setra
2014-10-30 18:20:33,ai0,-0.00287,NE Anemometer 4'
2014-10-30 18:20:33,ai1,-0.00433,SW Anemometer 4'
2014-10-30 18:20:33,ai2,0.0894,SE Anemometer 4'
2014-10-30 18:20:33,ai3,-0.00204,W Anemometer 4'
2014-10-30 18:20:33,ai4,0.00513,Center Anemometer 4'
2014-10-30 18:20:33,ai5,0.00757,Center Anemometer 7'6
2014-10-30 18:20:33,ai6,0.00269,E Anemometer 4'
2014-10-30 18:20:33,ai7,0.00877,N Anemometer 4'
2014-10-30 18:20:33,ai8,-0.00132,N Anemometer 7'6
2014-10-30 18:20:33,ai9,-0.00095,S Setra
2014-10-30 18:20:33,ai10,-0.00087,E Outer Setra
2014-10-30 18:20:33,ai11,-0.00244,NW P26
2014-10-30 18:20:33,ai12,-0.00104,E Inner Setra
2014-10-30 18:20:33,ai13,-0.001,N Setra
2014-10-30 18:20:34,ai0,-0.00123,NE Anemometer 4'
2014-10-30 18:20:34,ai1,0.00019,SW Anemometer 4'
2014-10-30 18:20:34,ai2,0.10296,SE Anemometer 4'
2014-10-30 18:20:34,ai3,0.00125,W Anemometer 4'
2014-10-30 18:20:34,ai4,0.00348,Center Anemometer 4'
2014-10-30 18:20:34,ai5,0.00757,Center Anemometer 7'6
